Esn,Country,Localized Device Description,Device Description,Ip,Region Code Display Name,Ts
NFANDROID1-PRV-P-GOOGLPIXEL=3=XL-8587-0D54DE0FA4EDAA2758565746A8DD49DCCBDABBDA12F347C69341A46B8ADBCCD7A,US,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,68.2.124.173,Arizona,2021-04-01T05:17:20.953Z
NFANDROID1-PRV-P-GOOGLPIXEL=3=XL-8587-0D54DE0FA4EDAA2758565746A8DD49DCCBDABBDA12F347C69341A46B8ADBCCD7A,US,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,70.166.216.10,Arizona,2021-03-31T18:07:08.980Z
NFANDROID1-PRV-P-GOOGLPIXEL=3=XL-8587-0D54DE0FA4EDAA2758565746A8DD49DCCBDABBDA12F347C69341A46B8ADBCCD7A,US,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,70.166.216.10,Arizona,2021-03-29T22:58:46.827Z
NFANDROID1-PRV-P-GOOGLPIXEL=3=XL-8587-0D54DE0FA4EDAA2758565746A8DD49DCCBDABBDA12F347C69341A46B8ADBCCD7A,US,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,65.140.32.146,Arizona,2021-03-28T18:11:37.330Z
NFANDROID1-PRV-P-GOOGLPIXEL=3=XL-8587-0D54DE0FA4EDAA2758565746A8DD49DCCBDABBDA12F347C69341A46B8ADBCCD7A,US,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,70.166.216.10,Arizona,2021-03-24T23:24:37.910Z
NFANDROID1-PRV-P-GOOGLPIXEL=3=XL-8587-0D54DE0FA4EDAA2758565746A8DD49DCCBDABBDA12F347C69341A46B8ADBCCD7A,US,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,65.140.32.146,Arizona,2021-03-24T22:20:31.492Z
NFANDROID1-PRV-P-GOOGLPIXEL=3=XL-8587-0D54DE0FA4EDAA2758565746A8DD49DCCBDABBDA12F347C69341A46B8ADBCCD7A,US,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,2600:8800:830a:bd00:b195:1383:4702:a452,Arizona,2021-03-24T04:08:09.476Z
NFANDROID1-PRV-P-GOOGLPIXEL=3=XL-8587-0D54DE0FA4EDAA2758565746A8DD49DCCBDABBDA12F347C69341A46B8ADBCCD7A,US,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,70.166.216.10,Arizona,2021-03-23T18:55:57.725Z
NFANDROID1-PRV-P-GOOGLPIXEL=3=XL-8587-0D54DE0FA4EDAA2758565746A8DD49DCCBDABBDA12F347C69341A46B8ADBCCD7A,US,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,65.140.32.146,Arizona,2021-03-23T14:55:57.534Z
NFANDROID1-PRV-P-GOOGLPIXEL=3=XL-8587-0D54DE0FA4EDAA2758565746A8DD49DCCBDABBDA12F347C69341A46B8ADBCCD7A,US,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,2607:fb90:e548:9342:7ea9:53e:427c:2faf,Arizona,2021-03-17T21:56:02.544Z
NFANDROID1-PRV-P-GOOGLPIXEL=3=XL-8587-0D54DE0FA4EDAA2758565746A8DD49DCCBDABBDA12F347C69341A46B8ADBCCD7A,US,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,2607:fb90:e579:aa79:8a3e:c55:246b:a6da,Arizona,2021-03-16T14:27:02.985Z
NFANDROID1-PRV-P-GOOGLPIXEL=3=XL-8587-0D54DE0FA4EDAA2758565746A8DD49DCCBDABBDA12F347C69341A46B8ADBCCD7A,US,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,68.2.124.173,Arizona,2021-03-16T04:25:23.621Z
NFANDROID1-PRV-P-GOOGLPIXEL=3=XL-8587-0D54DE0FA4EDAA2758565746A8DD49DCCBDABBDA12F347C69341A46B8ADBCCD7A,US,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,70.166.216.10,Arizona,2021-03-15T23:38:07.936Z
NFANDROID1-PRV-P-GOOGLPIXEL=3=XL-8587-0D54DE0FA4EDAA2758565746A8DD49DCCBDABBDA12F347C69341A46B8ADBCCD7A,US,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,2607:fb90:e57d:72da:1edd:929c:d54a:3c03,Arizona,2021-03-15T22:38:43.699Z
NFANDROID1-PRV-P-GOOGLPIXEL=3=XL-8587-0D54DE0FA4EDAA2758565746A8DD49DCCBDABBDA12F347C69341A46B8ADBCCD7A,US,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,68.2.124.173,Arizona,2021-03-15T05:39:57.811Z
NFANDROID2-PRV-TVAFTBL-AMAZOAFTEAMR311-8075-0E752D7BD580F0ADBC6284C77058814D507DA7FF8CD550E9E2BFE52F349C76D0,US,Amazon TVAFTBL Smart TV,Amazon TVAFTBL Smart TV,68.2.124.173,Arizona,2021-03-12T23:25:59.219Z
LGTV20203=31012608675,US,LG DTV 2020 RTK K6Lp UHD TV Smart TV,LG DTV 2020 RTK K6Lp UHD TV Smart TV,68.2.124.173,Arizona,2021-03-06T02:15:55.477Z
LGTV20172=21005015026,US,LG 2017 LG M16p Standard UHD TV Smart TV,LG 2017 LG M16p Standard UHD TV Smart TV,68.2.124.173,Arizona,2021-02-14T07:35:29.752Z
NFANDROID1-PRV-P-GOOGLPIXEL=3A=XL-10944-000897CDC1C38CC7EBA61C1FCEB2EBAD5CE8FCDA8541C0549EEAE83D32C2BB956,US,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,72.214.215.25,Arizona,2021-02-04T03:50:45.794Z
LGTV20172=21005015026,US,LG 2017 LG M16p Standard UHD TV Smart TV,LG 2017 LG M16p Standard UHD TV Smart TV,72.214.215.25,Arizona,2020-12-27T06:48:44.482Z
SSTV-HKM2-0000000000000010174078,US,Samsung 2015 Hawk-M UHD TV,Samsung 2015 Hawk-M UHD TV,72.214.215.25,Arizona,2020-11-21T03:29:44.030Z
LGTV20172=21005015026,US,LG 2017 LG M16p Standard UHD TV Smart TV,LG 2017 LG M16p Standard UHD TV Smart TV,72.214.215.25,Arizona,2020-10-17T05:41:54.544Z
SSTV-HKM2-0000000000000010174078,US,Samsung 2015 Hawk-M UHD TV,Samsung 2015 Hawk-M UHD TV,72.215.203.195,Arizona,2020-10-11T02:23:00.010Z
LGTV20172=21005015026,US,LG 2017 LG M16p Standard UHD TV Smart TV,LG 2017 LG M16p Standard UHD TV Smart TV,72.215.203.195,Arizona,2020-09-21T05:29:39.057Z
LGTV20172=21005015026,US,LG 2017 LG M16p Standard UHD TV Smart TV,LG 2017 LG M16p Standard UHD TV Smart TV,72.215.203.195,Arizona,2020-07-05T20:14:06.126Z
SSTV-HKM2-0000000000000010174078,US,Samsung 2015 Hawk-M UHD TV,Samsung 2015 Hawk-M UHD TV,72.215.203.195,Arizona,2020-05-26T02:19:18.315Z
LGTV20172=21005015026,US,LG 2017 LG M16p Standard UHD TV Smart TV,LG 2017 LG M16p Standard UHD TV Smart TV,70.162.232.234,Arizona,2019-07-27T05:11:49.227Z
SSTV-HKM2-0000000000000010174078,US,Samsung 2015 Hawk-M UHD TV,Samsung 2015 Hawk-M UHD TV,174.238.11.123,Arizona,2019-03-03T05:39:18.931Z
LGTV20172=21005015026,US,LG 2017 LG M16p Standard UHD TV Smart TV,LG 2017 LG M16p Standard UHD TV Smart TV,98.177.183.48,Arizona,2018-12-23T06:55:53.701Z
SSTV-HKM2-0000000000000010174078,US,Samsung 2015 Hawk-M UHD TV,Samsung 2015 Hawk-M UHD TV,67.143.208.45,Florida,2018-09-21T02:36:55.693Z
SSTV-HKM2-0000000000000010174078,US,Samsung 2015 Hawk-M UHD TV,Samsung 2015 Hawk-M UHD TV,67.143.208.142,California,2018-09-12T03:43:26.533Z
SSTV-HKM2-0000000000000010174078,US,Samsung 2015 Hawk-M UHD TV,Samsung 2015 Hawk-M UHD TV,67.143.208.205,California,2018-09-11T03:12:19.797Z
SSTV-HKM2-0000000000000010174078,US,Samsung 2015 Hawk-M UHD TV,Samsung 2015 Hawk-M UHD TV,67.143.209.45,California,2018-09-10T02:17:58.123Z
SSTV-HKM2-0000000000000010174078,US,Samsung 2015 Hawk-M UHD TV,Samsung 2015 Hawk-M UHD TV,67.143.209.52,Florida,2018-09-07T03:36:58.970Z
SSTV-HKM2-0000000000000010174078,US,Samsung 2015 Hawk-M UHD TV,Samsung 2015 Hawk-M UHD TV,67.143.209.50,Florida,2018-09-06T02:39:17.266Z
SSTV-HKM2-0000000000000010174078,US,Samsung 2015 Hawk-M UHD TV,Samsung 2015 Hawk-M UHD TV,67.143.208.131,Florida,2018-09-05T02:40:27.576Z
SSTV-HKM2-0000000000000010174078,US,Samsung 2015 Hawk-M UHD TV,Samsung 2015 Hawk-M UHD TV,67.143.208.231,Georgia,2018-08-30T03:15:54.384Z
SSTV-HKM2-0000000000000010174078,US,Samsung 2015 Hawk-M UHD TV,Samsung 2015 Hawk-M UHD TV,67.143.209.42,California,2018-08-29T02:22:56.889Z
SSTV-HKM2-0000000000000010174078,US,Samsung 2015 Hawk-M UHD TV,Samsung 2015 Hawk-M UHD TV,67.143.208.120,Arizona,2018-08-28T02:05:53.302Z
SSTV-HKM2-0000000000000010174078,US,Samsung 2015 Hawk-M UHD TV,Samsung 2015 Hawk-M UHD TV,67.143.208.253,Florida,2018-08-27T03:39:59.885Z
SSTV-HKM2-0000000000000010174078,US,Samsung 2015 Hawk-M UHD TV,Samsung 2015 Hawk-M UHD TV,67.143.209.22,Florida,2018-08-23T03:02:57.398Z
SSTV-HKM2-0000000000000010174078,US,Samsung 2015 Hawk-M UHD TV,Samsung 2015 Hawk-M UHD TV,67.143.208.87,Nevada,2018-08-22T03:13:07.234Z
SSTV-HKM2-0000000000000010174078,US,Samsung 2015 Hawk-M UHD TV,Samsung 2015 Hawk-M UHD TV,67.143.208.225,Florida,2018-08-21T02:05:24.600Z
SSTV-HKM2-0000000000000010174078,US,Samsung 2015 Hawk-M UHD TV,Samsung 2015 Hawk-M UHD TV,67.143.209.57,California,2018-08-20T00:10:54.052Z
SSTV-HKM2-0000000000000010174078,US,Samsung 2015 Hawk-M UHD TV,Samsung 2015 Hawk-M UHD TV,67.143.209.0,Florida,2018-08-16T03:14:09.605Z
SSTV-HKM2-0000000000000010174078,US,Samsung 2015 Hawk-M UHD TV,Samsung 2015 Hawk-M UHD TV,67.143.208.25,Florida,2018-08-15T02:17:05.746Z
SSTV-HKM2-0000000000000010174078,US,Samsung 2015 Hawk-M UHD TV,Samsung 2015 Hawk-M UHD TV,67.143.208.20,Georgia,2018-08-14T02:59:47.905Z
SSTV-HKM2-0000000000000010174078,US,Samsung 2015 Hawk-M UHD TV,Samsung 2015 Hawk-M UHD TV,67.143.208.5,Arizona,2018-08-07T02:51:43.147Z
SSTV-HKM2-0000000000000010174078,US,Samsung 2015 Hawk-M UHD TV,Samsung 2015 Hawk-M UHD TV,67.143.209.36,Florida,2018-08-01T03:07:37.401Z
SSTV-HKM2-0000000000000010174078,US,Samsung 2015 Hawk-M UHD TV,Samsung 2015 Hawk-M UHD TV,67.143.208.68,California,2018-07-19T01:33:45.085Z
SSTV-HKM2-0000000000000010174078,US,Samsung 2015 Hawk-M UHD TV,Samsung 2015 Hawk-M UHD TV,67.143.208.248,California,2018-07-07T03:42:44.580Z
SSTV-HKM2-0000000000000010174078,US,Samsung 2015 Hawk-M UHD TV,Samsung 2015 Hawk-M UHD TV,67.143.208.85,Nevada,2018-07-06T02:24:47.007Z
SSTV-HKM2-0000000000000010174078,US,Samsung 2015 Hawk-M UHD TV,Samsung 2015 Hawk-M UHD TV,67.143.209.5,Florida,2018-07-02T02:38:53.394Z
SSTV-HKM2-0000000000000010174078,US,Samsung 2015 Hawk-M UHD TV,Samsung 2015 Hawk-M UHD TV,67.143.208.255,Florida,2018-06-15T02:29:09.978Z
SSTV-HKM2-0000000000000010174078,US,Samsung 2015 Hawk-M UHD TV,Samsung 2015 Hawk-M UHD TV,67.143.208.102,Florida,2018-06-14T03:16:42.193Z
SSTV-HKM2-0000000000000010174078,US,Samsung 2015 Hawk-M UHD TV,Samsung 2015 Hawk-M UHD TV,67.143.208.140,Georgia,2018-06-12T03:01:09.719Z
SSTV-HKM2-0000000000000010174078,US,Samsung 2015 Hawk-M UHD TV,Samsung 2015 Hawk-M UHD TV,67.143.208.224,Florida,2018-06-11T03:00:57.537Z
SSTV-HKM2-0000000000000010174078,US,Samsung 2015 Hawk-M UHD TV,Samsung 2015 Hawk-M UHD TV,67.143.208.62,California,2018-06-07T02:41:39.878Z
SSTV-HKM2-0000000000000010174078,US,Samsung 2015 Hawk-M UHD TV,Samsung 2015 Hawk-M UHD TV,67.143.208.137,Florida,2018-06-06T02:30:42.763Z
SSTV-HKM2-0000000000000010174078,US,Samsung 2015 Hawk-M UHD TV,Samsung 2015 Hawk-M UHD TV,67.143.208.253,Florida,2018-06-04T03:38:36.782Z
SSTV-HKM2-0000000000000010174078,US,Samsung 2015 Hawk-M UHD TV,Samsung 2015 Hawk-M UHD TV,67.143.209.17,Florida,2018-05-28T06:22:16.570Z
SSTV-HKM2-0000000000000010174078,US,Samsung 2015 Hawk-M UHD TV,Samsung 2015 Hawk-M UHD TV,67.143.208.99,California,2018-05-21T02:19:43.015Z
SSTV-HKM2-0000000000000010174078,US,Samsung 2015 Hawk-M UHD TV,Samsung 2015 Hawk-M UHD TV,67.143.208.78,Florida,2018-05-14T03:14:03.493Z
SSTV-HKM2-0000000000000010174078,US,Samsung 2015 Hawk-M UHD TV,Samsung 2015 Hawk-M UHD TV,67.143.208.148,California,2018-05-07T03:00:48.429Z
SSTV-HKM2-0000000000000010174078,US,Samsung 2015 Hawk-M UHD TV,Samsung 2015 Hawk-M UHD TV,67.143.209.4,Florida,2018-05-03T02:48:07.339Z
SSTV-HKM2-0000000000000010174078,US,Samsung 2015 Hawk-M UHD TV,Samsung 2015 Hawk-M UHD TV,67.143.208.78,Florida,2018-05-02T02:15:23.015Z
SSTV-HKM2-0000000000000010174078,US,Samsung 2015 Hawk-M UHD TV,Samsung 2015 Hawk-M UHD TV,67.143.208.94,California,2018-04-26T03:49:50.378Z
SSTV-HKM2-0000000000000010174078,US,Samsung 2015 Hawk-M UHD TV,Samsung 2015 Hawk-M UHD TV,67.143.209.16,Florida,2018-04-25T03:19:40.589Z
SSTV-HKM2-0000000000000010174078,US,Samsung 2015 Hawk-M UHD TV,Samsung 2015 Hawk-M UHD TV,67.143.209.11,California,2018-04-24T01:59:00.298Z
SSTV-HKM2-0000000000000010174078,US,Samsung 2015 Hawk-M UHD TV,Samsung 2015 Hawk-M UHD TV,67.143.208.38,California,2018-04-23T03:14:30.310Z
SSTV-HKM2-0000000000000010174078,US,Samsung 2015 Hawk-M UHD TV,Samsung 2015 Hawk-M UHD TV,67.143.209.8,California,2018-04-19T02:22:06.740Z
SSTV-HKM2-0000000000000010174078,US,Samsung 2015 Hawk-M UHD TV,Samsung 2015 Hawk-M UHD TV,67.143.208.204,California,2018-04-18T01:20:28.837Z
LGTV20172=21005015026,US,LG 2017 LG M16p Standard UHD TV Smart TV,LG 2017 LG M16p Standard UHD TV Smart TV,98.177.183.48,Arizona,2018-04-17T01:10:31.002Z
SSTV-HKM2-0000000000000010174078,US,Samsung 2015 Hawk-M UHD TV,Samsung 2015 Hawk-M UHD TV,67.143.208.18,Florida,2018-04-12T01:36:19.028Z
SSTV-HKM2-0000000000000010174078,US,Samsung 2015 Hawk-M UHD TV,Samsung 2015 Hawk-M UHD TV,67.143.209.36,Florida,2018-04-12T01:16:00.910Z
SSTV-HKM2-0000000000000010174078,US,Samsung 2015 Hawk-M UHD TV,Samsung 2015 Hawk-M UHD TV,67.143.208.52,Arizona,2018-04-11T03:58:15.145Z
SSTV-HKM2-0000000000000010174078,US,Samsung 2015 Hawk-M UHD TV,Samsung 2015 Hawk-M UHD TV,67.143.208.215,Florida,2018-04-10T04:57:30.779Z
SSTV-HKM2-0000000000000010174078,US,Samsung 2015 Hawk-M UHD TV,Samsung 2015 Hawk-M UHD TV,67.143.208.244,Nevada,2018-04-10T03:56:04.147Z
SSTV-HKM2-0000000000000010174078,US,Samsung 2015 Hawk-M UHD TV,Samsung 2015 Hawk-M UHD TV,67.143.208.173,California,2018-04-10T03:30:52.888Z
SSTV-HKM2-0000000000000010174078,US,Samsung 2015 Hawk-M UHD TV,Samsung 2015 Hawk-M UHD TV,67.143.208.70,California,2018-04-10T03:17:23.363Z
SSTV-HKM2-0000000000000010174078,US,Samsung 2015 Hawk-M UHD TV,Samsung 2015 Hawk-M UHD TV,67.143.209.0,Florida,2018-04-09T00:27:19.769Z
SSTV-HKM2-0000000000000010174078,US,Samsung 2015 Hawk-M UHD TV,Samsung 2015 Hawk-M UHD TV,67.143.208.34,Florida,2018-04-05T04:42:54.602Z
SSTV-HKM2-0000000000000010174078,US,Samsung 2015 Hawk-M UHD TV,Samsung 2015 Hawk-M UHD TV,67.143.208.251,Arizona,2018-04-05T03:52:15.622Z
SSTV-HKM2-0000000000000010174078,US,Samsung 2015 Hawk-M UHD TV,Samsung 2015 Hawk-M UHD TV,67.143.208.70,California,2018-04-04T02:38:34.248Z
SSTV-HKM2-0000000000000010174078,US,Samsung 2015 Hawk-M UHD TV,Samsung 2015 Hawk-M UHD TV,67.143.208.206,Florida,2018-04-01T18:35:09.751Z
SSTV-HKM2-0000000000000010174078,US,Samsung 2015 Hawk-M UHD TV,Samsung 2015 Hawk-M UHD TV,67.143.208.238,Florida,2018-04-01T03:47:13.043Z
SSTV-HKM2-0000000000000010174078,US,Samsung 2015 Hawk-M UHD TV,Samsung 2015 Hawk-M UHD TV,67.143.209.23,Florida,2018-03-30T02:03:34.582Z
SSTV-HKM2-0000000000000010174078,US,Samsung 2015 Hawk-M UHD TV,Samsung 2015 Hawk-M UHD TV,67.143.208.224,Florida,2018-03-29T02:19:28.444Z
SSTV-HKM2-0000000000000010174078,US,Samsung 2015 Hawk-M UHD TV,Samsung 2015 Hawk-M UHD TV,67.143.208.194,Florida,2018-03-27T02:22:09.192Z
LGTV20172=21005015026,US,LG 2017 LG M16p Standard UHD TV Smart TV,LG 2017 LG M16p Standard UHD TV Smart TV,68.231.82.254,Arizona,2018-03-25T06:35:59.897Z
SSTV-HKM2-0000000000000010174078,US,Samsung 2015 Hawk-M UHD TV,Samsung 2015 Hawk-M UHD TV,67.143.208.213,Florida,2018-03-22T02:26:45.923Z
SSTV-HKM2-0000000000000010174078,US,Samsung 2015 Hawk-M UHD TV,Samsung 2015 Hawk-M UHD TV,67.143.208.190,Florida,2018-03-21T02:31:22.099Z
SSTV-HKM2-0000000000000010174078,US,Samsung 2015 Hawk-M UHD TV,Samsung 2015 Hawk-M UHD TV,67.143.208.168,California,2018-03-19T01:47:54.563Z
SSTV-HKM2-0000000000000010174078,US,Samsung 2015 Hawk-M UHD TV,Samsung 2015 Hawk-M UHD TV,67.143.208.87,Nevada,2018-03-18T22:15:32.031Z
SSTV-HKM2-0000000000000010174078,US,Samsung 2015 Hawk-M UHD TV,Samsung 2015 Hawk-M UHD TV,67.143.208.71,California,2018-03-18T21:31:44.777Z
SSTV-HKM2-0000000000000010174078,US,Samsung 2015 Hawk-M UHD TV,Samsung 2015 Hawk-M UHD TV,67.143.208.219,California,2018-03-18T20:48:04.926Z
SSTV-HKM2-0000000000000010174078,US,Samsung 2015 Hawk-M UHD TV,Samsung 2015 Hawk-M UHD TV,67.143.208.59,California,2018-03-18T20:05:23.183Z
SSTV-HKM2-0000000000000010174078,US,Samsung 2015 Hawk-M UHD TV,Samsung 2015 Hawk-M UHD TV,67.143.208.4,Arizona,2018-03-18T19:47:51.172Z
SSTV-HKM2-0000000000000010174078,US,Samsung 2015 Hawk-M UHD TV,Samsung 2015 Hawk-M UHD TV,67.143.208.73,California,2018-03-18T19:09:33.936Z
SSTV-HKM2-0000000000000010174078,US,Samsung 2015 Hawk-M UHD TV,Samsung 2015 Hawk-M UHD TV,67.143.208.52,Arizona,2018-03-18T18:17:49.379Z
SSTV-HKM2-0000000000000010174078,US,Samsung 2015 Hawk-M UHD TV,Samsung 2015 Hawk-M UHD TV,67.143.208.143,Florida,2018-03-18T16:42:46.362Z
SSTV-HKM2-0000000000000010174078,US,Samsung 2015 Hawk-M UHD TV,Samsung 2015 Hawk-M UHD TV,67.143.208.249,California,2018-03-18T15:38:17.215Z
SSTV-HKM2-0000000000000010174078,US,Samsung 2015 Hawk-M UHD TV,Samsung 2015 Hawk-M UHD TV,67.143.208.13,Florida,2018-03-18T05:06:06.571Z
SSTV-HKM2-0000000000000010174078,US,Samsung 2015 Hawk-M UHD TV,Samsung 2015 Hawk-M UHD TV,67.143.208.149,California,2018-03-17T20:25:16.044Z
LGTV20172=21005015026,US,LG 2017 LG M16p Standard UHD TV Smart TV,LG 2017 LG M16p Standard UHD TV Smart TV,68.231.82.254,Arizona,2018-03-13T03:13:49.863Z
